text_stemmed_x,sentiment_score_googleNLP,sentiment_googleNLP,text_stemmed_y,sentiment_score_indoBERT,sentiment_indoBERT
cerita rasa tugas dimensi pesimis tugas sanggup menang sadar tugas mudah matkul per tokopedia,0,-1,cerita rasa tugas dimensi pesimis tugas sanggup menang sadar tugas mudah matkul per tokopedia,0.9119786620140076,-1
senang ajar materi 3d materi tarik manfaat suka ajar objek 3d bentuk dasar objek kompleks suka ajar teknik manipulasi objek 3d suka materi kompleks butuh ajar materi terkadang teoritis praktikal baik harap materi kemas sistematis mudah paham harap materi fokus praktikum mahasiswa langsung terap teori ajar alam asistensi proses asistensi validasi jalan asisten praktikum bantu sabar,1,1,senang ajar materi 3d materi tarik manfaat suka ajar objek 3d bentuk dasar objek kompleks suka ajar teknik manipulasi objek 3d suka materi kompleks butuh ajar materi terkadang teoritis praktikal baik harap materi kemas sistematis mudah paham harap materi fokus praktikum mahasiswa langsung terap teori ajar alam asistensi proses asistensi validasi jalan asisten praktikum bantu sabar,0.5412861108779907,-1
senang ajar materi 3d materi tarik manfaat suka ajar objek 3d bentuk dasar objek kompleks suka ajar teknik manipulasi objek 3d suka materi kompleks butuh ajar materi terkadang teoritis praktikal baik harap materi kemas sistematis mudah paham harap materi fokus praktikum mahasiswa langsung terap teori ajar proses asistensi validasi jalan asisten praktikum bantu sabar,1,1,senang ajar materi 3d materi tarik manfaat suka ajar objek 3d bentuk dasar objek kompleks suka ajar teknik manipulasi objek 3d suka materi kompleks butuh ajar materi terkadang teoritis praktikal baik harap materi kemas sistematis mudah paham harap materi fokus praktikum mahasiswa langsung terap teori ajar proses asistensi validasi jalan asisten praktikum bantu sabar,0.6416587829589844,-1
ajar materi seru awal susah basic web damping bab kes tarik struktur,1,1,ajar materi seru awal susah basic web damping bab kes tarik struktur,0.498532086610794,0
pusing ajar blender ya allah bismillah lancar selesai suka ajar mgv benarbenar bawa ubah suka mencaricari asistem praktek terkadang sulit hubung ajar benarbenar otodidak aplikasi asing toolsnya alam tambah ilmu jurus tau,1,1,pusing ajar blender ya allah bismillah lancar selesai suka ajar mgv benarbenar bawa ubah suka mencaricari asistem praktek terkadang sulit hubung ajar benarbenar otodidak aplikasi asing toolsnya alam tambah ilmu jurus tau,0.5899965167045593,-1
alam projekprojek mata kuliah inovasi media grafis visual projek2 nya penuh tekateki tantang suka nya latih gerak cepat memdesain suka milik basic desain alami sulit teman milik basic desain,1,1,alam projekprojek mata kuliah inovasi media grafis visual projek2 nya penuh tekateki tantang suka nya latih gerak cepat memdesain suka milik basic desain alami sulit teman milik basic desain,0.6938339471817017,1
suka materi ilmu desain 3d kuranhg suka butuh device mumpuni asdos bantu mahasiswa paham judul,0,1,suka materi ilmu desain 3d kuranhg suka butuh device mumpuni asdos bantu mahasiswa paham judul,0.5841770172119141,0
alam projek 3 dimensi suka suka banyak suka buat aplikasi blender ya suruh projek 3 dimensi alam pasti lupa kepanikan2 nya,0,1,alam projek 3 dimensi suka suka banyak suka buat aplikasi blender ya suruh projek 3 dimensi alam pasti lupa kepanikan2 nya,0.9362266659736632,-1
ajar materi bingung darimana basic desain 3d ajar step by step hasil sesuai mampu bisa hehe,1,1,ajar materi bingung darimana basic desain 3d ajar step by step hasil sesuai mampu bisa hehe,0.7136361002922058,-1
alhamdulillah aju judul langsung ac ya tuhan tau ku segimana syukur apa hasil proses maksimal,1,1,alhamdulillah aju judul langsung ac ya tuhan tau ku segimana syukur apa hasil proses maksimal,0.8669720888137817,1
salah mata kuliah favorit dalam ajar seru monotontidak membosankandi ajar lecturer tuntut mahasiswa ikut beliaunamun bebas mahasiswa kreatif milik mahasiswa disiplin atur membangn semangat mahasiswa sedia bintng bab i love mgv,1,1,salah mata kuliah favorit dalam ajar seru monotontidak membosankandi ajar lecturer tuntut mahasiswa ikut beliaunamun bebas mahasiswa kreatif milik mahasiswa disiplin atur membangn semangat mahasiswa sedia bintng bab i love mgv,0.902963936328888,1
expect ngejain 3d but seru banget ajar walopun kayak rollercoaster semangat ya mentemen makas bantu hehehe,1,1,expect ngejain 3d but seru banget ajar walopun kayak rollercoaster semangat ya mentemen makas bantu hehehe,0.9895856976509094,1
alam materi senang tantang asah ilmu ajar smk ulik software nya ajar sekolah tengah juru alam asistensi validasi rasa tugas proyek tantang hadap dosen asisten dosen asisten praktek tata nya sopan hasil proyek tele tele gerogi demonstrasi,1,1,alam materi senang tantang asah ilmu ajar smk ulik software nya ajar sekolah tengah juru alam asistensi validasi rasa tugas proyek tantang hadap dosen asisten dosen asisten praktek tata nya sopan hasil proyek tele tele gerogi demonstrasi,0.4955097138881683,-1
kali cerita alam ajar mgv materi mgv unggul asal smk menang start banding teman asistensi asprak demonstrasi produk langsung dosen awwalnya kaget harus lapor biasa aplikasi word ajar teman selesai tugas mgv milik kendala asistensi teman keluh asisten sensitif kes susah ajak kompromi tugas selesai haya alam cerita,0,-1,kali cerita alam ajar mgv materi mgv unggul asal smk menang start banding teman asistensi asprak demonstrasi produk langsung dosen awwalnya kaget harus lapor biasa aplikasi word ajar teman selesai tugas mgv milik kendala asistensi teman keluh asisten sensitif kes susah ajak kompromi tugas selesai haya alam cerita,0.9611162543296814,-1
alam materi senang seru tantang asah ilmu ajar smk dalam 3d blender,1,1,alam materi senang seru tantang asah ilmu ajar smk dalam 3d blender,0.7586427330970764,1
materi 3d susah milik alam dasar desain 3d aplikasi rumit susah ajar materi kembang skil desain pasti alam guna depan,-1,-1,materi 3d susah milik alam dasar desain 3d aplikasi rumit susah ajar materi kembang skil desain pasti alam guna depan,0.9840457439422609,-1
atas ajar modeling software perintah hasil buat sempurna lms jiga bantu tenggat proyek,1,1,atas ajar modeling software perintah hasil buat sempurna lms jiga bantu tenggat proyek,0.952275812625885,0
ajar 3d blender butuh damping tutor macam guide ngangong,0,-1,ajar 3d blender butuh damping tutor macam guide ngangong,0.912326455116272,0
seru sih tantang buru bikin sulit ya tuntas tugas ajar tutor batas seru relasi katingaspraknya ajar adikadiknya ajar,1,1,seru sih tantang buru bikin sulit ya tuntas tugas ajar tutor batas seru relasi katingaspraknya ajar adikadiknya ajar,0.9046457409858704,-1
nikmat model ajar alam seru tantang luas tahu terkadang hadap kendala lapor aspek seru tantang ajar mikat batas tulis lapor tantang sendiri proses cerna paham materi ajar muas transfer paham lapor terampil organisasi muka gagas sistematis upaya atas kendala ajar tulis lapor cari pandu latih harga sempat model ajar bantu atas keterbatan jalan alam ajar seru muas,0,1,nikmat model ajar alam seru tantang luas tahu terkadang hadap kendala lapor aspek seru tantang ajar mikat batas tulis lapor tantang sendiri proses cerna paham materi ajar muas transfer paham lapor terampil organisasi muka gagas sistematis upaya atas kendala ajar tulis lapor cari pandu latih harga sempat model ajar bantu atas keterbatan jalan alam ajar seru muas,0.4250509440898895,1
bismillahirrahmanirrahim moga mudah asistensi mudah urus amin,1,1,bismillahirrahmanirrahim moga mudah asistensi mudah urus amin,0.9357399940490724,1
moga mgv asah soft skil kerja seemangat suka tidak tahu guna blender,1,1,moga mgv asah soft skil kerja seemangat suka tidak tahu guna blender,0.4951965510845184,1
bismillahirrahmanirrahim moga asisten praktikum mudah urus mahasiswa,1,1,bismillahirrahmanirrahim moga asisten praktikum mudah urus mahasiswa,0.9194967150688172,1
ambil judul salah temanteman ambil judul lumayan mudah bentuk bulat kotak bunga bentuk kompleks sulit buat menang hehe,0,-1,ambil judul salah temanteman ambil judul lumayan mudah bentuk bulat kotak bunga bentuk kompleks sulit buat menang hehe,0.9843136072158812,-1
senang ajar 3d explore tutorial agam sumber wishlist cita pengin 3d modeling pengin bikin anime hehehe struggle nya bingung lupa tools pakai sok far so good makas,1,1,senang ajar 3d explore tutorial agam sumber wishlist cita pengin 3d modeling pengin bikin anime hehehe struggle nya bingung lupa tools pakai sok far so good makas,0.9677716493606568,1
ajar produk 3d blender ajar tools kembang produk tau tools grab belah produk boolean lainlain,0,1,ajar produk 3d blender ajar tools kembang produk tau tools grab belah produk boolean lainlain,0.7909024357795715,0
suka ajar seru ajar sayang laptop penuh hehe seru moga beli laptop mudah tugas yeay,1,1,suka ajar seru ajar sayang laptop penuh hehe seru moga beli laptop mudah tugas yeay,0.9889588356018066,1
